,dibujo,juego,gráfica,logo,comic,mapa,foto,title
0,Firmar,Juego,Gráfico,Logo,"""Cómico"";",Mapa,"""Fotograffa.",Título
1,"""una imagen de un dibujo""","""una imagen de un juego""","""una imagen de un gráfico""","""una imagen de un logotipo""","""una imagen de un cómic""","""una imagen de un mapa""","""una imagen de una fotografía""","""una imagen de un título"""
2,"""dibujo tradicional""",Juego de mesa,Representación gráfica,"""logo emblemático""","""cómic tradicional""","""mapa informativo""","""fotografía histórica""","""title-font letter"""
3,"""dibujo monocromático descriptivo""","""entretenido juego de mesa"",","""gráfico representativo informativo""","""logotipo simbólico de la marca""","""entretenido cómic tradicional""","""mapa informativo topográfico""","""fotografía histórica de diario""","""title-font latin letter"""
4,"""dibujo descriptivo o dibujo ilustrativo o dibujo de retrato o caricatur","""juego de rompecabezas o juego de mesa o juego didáctico""","""gráfico de líneas o gráfico de barras""","""logotipo de la empresa o logotipo de la marca o logotipo de la institución""","""cómic de aventuras o cómic de humor o cómic de superhéroes o cómic de guerra""","""mapa del país o mapa regional o mapa meteorológico""","""fotografía histórica o fotografía de diario o fotografía de portada""","""título o letra del alfabeto"""
5,"""dibujo descriptivo, dibujo ilustrativo, dibujo retrato, dibujo caricatural","""juego de rompecabezas, juego de mesa, juego didáctico""","""gráfico de líneas, gráfico de barras""","""logotipo de la empresa, logotipo de la marca, logotipo de la institución""","""cómic de aventuras, cómic de humor, cómic de superhéroes, cómic de guerra""","""mapa de país, mapa regional, mapa meteorológico""","""fotografía histórica, fotografía de diario, fotografía de portada""","""título, letra del alfabeto"""
6,"""Esta imagen ha sido dibujada con un lápiz""","""Este juego se puede jugar solo o en grupos""","""Este gráfico se ha trazado utilizando algunos datos recopilados""","""Este logotipo ha sido diseñado para un cliente""",“Este cómic es una historia contada con imágenes sucesivas”,"""Este mapa se puede utilizar para aprender geografía""","""Esta fotografía ha sido tomada con una cámara antigua""","""Esta gran letra marca el comienzo de un título""."
7,"""Dibujo o Ilustración: Pueden ser retratos o dibujos de moda, pero también ornamentos","""Juego o rompecabezas: Sudoku, ajedrez, crucigramas, póquer, juegos de cartas, go, etc...""","""Gráfico o Gráfico: Los gráficos corresponden a simple, ""y = f (x)""","""Logo: Logotipos clásicos, combina texto y gráficos con texto predominante, antiguo p","""Dibujo cómico o satírico: cualquier dibujo de humor o entretenimiento. Podría incluir","""Mapa: Incluye mapas geográficos, geológicos y geopolíticos, así como","""Fotografías: en blanco y negro o en color, a veces incluye marcos decorados"".","""Título: título grande, o carta de título, casi exclusivamente de Le Confédéré."""
8,"""dibujo: una imagen hecha con un lápiz o un bolígrafo""","""juego: una actividad entretenida, o el equipo necesario para tal actividad","""gráfico: una imagen que muestra cómo dos conjuntos de información o variables son rel",“logo: un diseño o símbolo utilizado por una empresa para publicitar sus productos”,"""cómic: un conjunto de historias contadas en imágenes con una pequeña cantidad de escritura""","""mapa: una representación de la superficie de la tierra, o parte de esa superficie, showi","""fotografía: una imagen producida con una cámara""","""título: el nombre de una película, libro, pintura, pieza musical"""
9,"""una imagen hecha con un lápiz o un bolígrafo""","""una actividad de entretenimiento, o el equipo necesario para tal actividad""","""una imagen que muestra cómo se relacionan dos conjuntos de información o variables, u","""un diseño o símbolo utilizado por una empresa para publicitar sus productos""","""un conjunto de historias contadas en imágenes con una pequeña cantidad de escritura""","""una representación de la superficie de la tierra, o parte de esa superficie, que muestra",,"""una imagen producida con una cámara"", ""el nombre de una película, libro, pintura, pastel"
10,"""dibujo: una imagen hecha con un lápiz o un bolígrafo""","""juego: una actividad o deporte entretenido, especialmente uno jugado por niños,","""graph: una imagen que muestra cómo dos conjuntos de información o variables (= amou",“logo: un diseño o símbolo utilizado por una empresa para publicitar sus productos”,"""cómic: un conjunto de historias contadas en imágenes con una pequeña cantidad de escritura""","""mapa: un dibujo de la superficie de la tierra, o parte de esa superficie, que muestra el","""fotografía: una imagen producida con una cámara""","""título: el nombre de una película, libro, pintura, pieza musical"""
11,"""una imagen hecha con un lápiz o un bolígrafo""","""una actividad o deporte entretenido, especialmente uno jugado por niños, o el","""una imagen que muestra cómo dos conjuntos de información o variables (= cantidades que","""un diseño o símbolo utilizado por una empresa para publicitar sus productos""","""un conjunto de historias contadas en imágenes con una pequeña cantidad de escritura""","""un dibujo de la superficie de la tierra, o parte de esa superficie, que muestra la forma","""una imagen producida con una cámara""","""el nombre de una película, libro, pintura, pieza musical"""
12,"""Un dibujo es como una ventana a la imaginación del artista, donde el espectador c","""Un juego es como un viaje por un camino sinuoso. Está lleno de desafíos, sur","""Un gráfico es como una hoja de ruta para los datos. Sirve como guía para dar sentido a la","""Un logotipo es como un apretón de manos firme. Es la primera impresión y presentación","""Un cómic es como una montaña rusa para tu imaginación. Al igual que un rollerc","""Un mapa es como un mapa del tesoro para explorar el mundo real. Proporciona la k","""Una fotografía es como un momento congelado en el tiempo, una memoria conservada en un marco.","""Un título es como una señal en el camino del conocimiento. Just as a signpost prov"
