melvin,ציור,משחק,Symbol for file attachment annotations,לוגו,קומיקס,מפה,תמונה,התפקיד שלהם
0,ציור,משחק,Symbol for file attachment annotations,לוגו,קומיקס,מפה,תמונה,כותרת
1,"""תמונה של ציור""","""תמונה של משחק""","""תמונה של גרף""","""תמונה של לוגו""","""תמונה של קומיקס""","""תמונה של מפה""","""תמונה של תצלום""","""תמונה של כותרת"""
2,"""שרטוט מסורתי""",משחק לוחName,"""ייצוג גרפי""","""לוגו סמלי""","""קומיקס מסורתי""","""מפה אינפורמטיבית""","""תצלום היסטורי""","""title -ont letter"""
3,"""רישום מונוכרומטי מפרקי""","""משחק קופסה מבדר "",","""גרף מייצג אינפורמטיבי""","""לוגו מותג סמלי""","""קומיקס מסורתי מבדר""","""מפה טופוגרפית אינפורמטיבית""","""תצלום יומן היסטורי""","""title -ont latin letter"""
4,"""רישום תיאורי או אילוסטרציה או ציור דיוקן או קריקטורה","""משחק פאזל או משחק לוח או משחק דידקטי""","""גרף קו או גרף עמודות""","""לוגו חברה או לוגו מותג או לוגו מוסד""","""קומיקס הרפתקאות או קומיקס הומור או קומיקס גיבורי על או קומיקס מלחמה""","""מפת מדינה או מפה אזורית או מפת מזג אוויר""","""תצלום היסטורי או תצלום יומן או תצלום Portait""","""כותרת או אות אלף - בית"""
5,"""רישום תיאורי, רישום אילוסטרטיבי, ציור פורטרט, DRA קריקטורי","""משחק פאזל, משחק לוח, משחק דידקטי""","""גרף שורה, גרף עמודות""","""לוגו החברה, לוגו המותג, לוגו המוסד""","""קומיקס הרפתקאות, קומיקס הומור, קומיקס גיבורי על, קומיקס מלחמה""","""מפת מדינה, מפה אזורית, מפת מזג אוויר""","""תצלום היסטורי, תצלום יומן, תצלום Portait""","""כותרת, אות אלף - בית"""
6,"""תמונה זו צוירה בעיפרון""","""ניתן לשחק במשחק זה לבד או בקבוצות""","""תרשים זה שורטט באמצעות נתונים שנאספו""","""לוגו זה תוכנן עבור לקוח""","""הקומיקס הזה הוא סיפור שמסופר בתמונות עוקבות""","""ניתן להשתמש במפה זו כדי ללמוד גיאוגרפיה""","""התמונה הזו צולמה במצלמה ישנה""","""המכתב הגדול הזה מסמן את תחילתה של כותרת ."""
7,"""רישום או איור: יכול להיות דיוקן או ציורי אופנה, אבל גם קישוט","""משחק או פאזל: סודוקו, שחמט, תשבצים, פוקר, משחקי קלפים, קדימה וכו '...""","""תרשים או תרשים: תרשימים תואמים לפשוט ,""y = f (x )""","""לוגו: לוגו קלאסי, משלב טקסט וגרפיקה עם טקסט דומיננטי, ישן p","""רישום קומי או סאטירי: כל ציור הומור או בידור. יכול","""מפה: כוללת מפות גיאוגרפיות, גיאולוגיות וגיאופוליטיות, כמו גם","""תמונות: שחור ולבן או צבע, לפעמים כולל מסגרות מעוצבות .""","""כותרת: כותרת גדולה, או אות כותרת, כמעט בלעדית מ - Le Confédéré ."""
8,"""רישום: תמונה שנעשתה בעיפרון או בעט""","""משחק: פעילות משעשעת, או הציוד הדרוש לפעילות כזו","""graph: a picture that shows how two sets of information or variables are rel","""לוגו: עיצוב או סמל המשמש חברה לפרסום מוצריה""","""קומיקס: סט סיפורים המסופרים בתמונות עם כמות קטנה של כתיבה""","""map: a representation of the earth's surface, or part of that surface, showi","""תצלום: תמונה שהופקה באמצעות מצלמה""","""כותרת: שם של סרט, ספר, ציור, יצירה מוזיקלית"""
9,"""תמונה שנעשתה בעיפרון או בעט""","""פעילות משעשעת, או הציוד הדרוש לפעילות כזו""","""תמונה שמראה כיצד שתי קבוצות של מידע או משתנים קשורות,","""עיצוב או סמל המשמש חברה לפרסום מוצריה""","""סט של סיפורים המסופרים בתמונות עם כמות קטנה של כתיבה""","""ייצוג של פני כדור הארץ, או חלק ממשטח זה, המציג את",,"""תמונה המופקת באמצעות מצלמה "","" שם של סרט, ספר, ציור, עוגה"
