Type_of_change,Image_path,True_label,Prediction,Scores,Confidence
spanish_prompts3,data/test/drawing/LCE-1901-07-31-a-i0023.jpg,0,1,10.548262,0.4091124
spanish_prompts3,data/test/drawing/GDL-1956-06-30-a-i0255_6.jpg,0,0,15.376604,0.9185535
spanish_prompts3,data/test/drawing/LCE-1908-08-12-a-i0050.jpg,0,3,13.207127,0.74456406
spanish_prompts3,data/test/drawing/IMP-1910-05-01-a-i0094_10.jpg,0,1,9.6513605,0.52707434
spanish_prompts3,data/test/drawing/EXP-1986-07-04-a-i0361.jpg,0,4,11.895896,0.40961584
spanish_prompts3,data/test/drawing/IMP-1949-09-30-a-i0010.jpg,0,4,10.626162,0.47003114
spanish_prompts3,data/test/drawing/LCE-1915-12-25-a-i0042.jpg,0,3,13.91442,0.49735215
spanish_prompts3,data/test/drawing/EXP-1972-12-02-a-i0308.jpg,0,3,9.125179,0.4710001
spanish_prompts3,data/test/drawing/JDG-1904-10-21-a-i0066.jpg,0,1,9.7832575,0.63548076
spanish_prompts3,data/test/drawing/EXP-1957-12-06-a-i0008.jpg,0,1,9.820246,0.6422701
spanish_prompts3,data/test/drawing/JDG-1978-10-23-a-i0020.jpg,0,4,11.626123,0.7192888
spanish_prompts3,data/test/drawing/IMP-1946-02-01-a-i0084.jpg,0,0,11.852554,0.87442315
spanish_prompts3,data/test/drawing/JDG-1958-02-15-a-i0052_2.jpg,0,0,8.911067,0.5175069
spanish_prompts3,data/test/drawing/IMP-1955-01-31-a-i0053.jpg,0,2,11.058362,0.5673204
spanish_prompts3,data/test/drawing/IMP-1992-02-10-a-i0160.jpg,0,4,9.155329,0.79561573
spanish_prompts3,data/test/drawing/GDL-1951-10-24-a-i0014.jpg,0,3,18.520996,0.9994049
spanish_prompts3,data/test/drawing/EXP-1914-02-11-a-i0087.jpg,0,3,11.570036,0.39222842
spanish_prompts3,data/test/drawing/IMP-1980-02-04-a-i0078_3.jpg,0,6,8.333929,0.6683671
spanish_prompts3,data/test/drawing/IMP-1930-02-27-a-i0033.jpg,0,3,10.729455,0.47484377
spanish_prompts3,data/test/drawing/IMP-1913-11-22-a-i0062.jpg,0,0,10.897247,0.54364955
spanish_prompts3,data/test/drawing/IMP-1920-03-19-a-i0002.jpg,0,7,6.9363356,0.4360694
spanish_prompts3,data/test/drawing/IMP-1911-01-14-a-i0027.jpg,0,2,12.122709,0.7398802
spanish_prompts3,data/test/drawing/JDG-1971-07-24-a-i0130.jpg,0,0,9.836696,0.75276
spanish_prompts3,data/test/drawing/EXP-1974-04-25-a-i0418.jpg,0,0,9.739424,0.5301841
spanish_prompts3,data/test/drawing/IMP-1989-08-28-a-i0011.jpg,0,0,9.527929,0.473018
spanish_prompts3,data/test/drawing/IMP-1958-03-19-a-i0167.jpg,0,0,10.433951,0.56064665
spanish_prompts3,data/test/drawing/GDL-1949-09-03-a-i0216.jpg,0,0,11.459925,0.5643731
spanish_prompts3,data/test/drawing/EXP-1990-11-26-a-i0245.jpg,0,4,7.8102074,0.2876486
spanish_prompts3,data/test/drawing/IMP-2000-09-15-a-i0197_3.jpg,0,3,11.108173,0.6499652
spanish_prompts3,data/test/drawing/LCE-1919-05-03-a-i0022.jpg,0,0,10.195379,0.6382384
spanish_prompts3,data/test/drawing/IMP-1976-01-24-a-i0073.jpg,0,4,10.928414,0.6065688
spanish_prompts3,data/test/drawing/LCE-1908-02-29-a-i0040.jpg,0,3,12.14938,0.8327775
spanish_prompts3,data/test/drawing/GDL-1966-04-22-a-i0067.jpg,0,0,11.775214,0.65140766
spanish_prompts3,data/test/drawing/LCE-1992-06-12-a-i0032.jpg,0,0,10.648258,0.48628056
spanish_prompts3,data/test/drawing/IMP-1955-08-01-a-i0038.jpg,0,0,12.965089,0.48554778
spanish_prompts3,data/test/drawing/GDL-1900-03-08-a-i0026.jpg,0,0,10.099375,0.31243363
spanish_prompts3,data/test/drawing/EXP-1988-07-13-a-i0007.jpg,0,7,7.9484067,0.45309803
spanish_prompts3,data/test/drawing/EXP-1959-06-19-a-i0106_3.jpg,0,3,8.068399,0.2348793
spanish_prompts3,data/test/drawing/EXP-1973-09-01-a-i0451_4.jpg,0,4,10.222096,0.82693607
spanish_prompts3,data/test/drawing/EXP-1994-10-24-a-i0110.jpg,0,5,14.842796,0.9021857
spanish_prompts3,data/test/drawing/JDG-1955-02-10-a-i0014.jpg,0,1,11.789713,0.4611186
spanish_prompts3,data/test/drawing/IMP-1904-04-09-a-i0002_3.jpg,0,3,13.962179,0.56875074
spanish_prompts3,data/test/drawing/GDL-1959-02-03-a-i0097_2.jpg,0,4,12.487695,0.7442723
spanish_prompts3,data/test/drawing/EXP-1972-07-08-a-i0361_3.jpg,0,1,9.9405365,0.65833235
spanish_prompts3,data/test/drawing/IMP-1983-10-03-a-i0220.jpg,0,1,12.010557,0.674593
spanish_prompts3,data/test/drawing/EXP-1950-01-28-a-i0233.jpg,0,5,11.664457,0.8806521
spanish_prompts3,data/test/drawing/LCE-1952-09-22-a-i0041_2.jpg,0,4,11.91592,0.73566127
spanish_prompts3,data/test/drawing/JDG-1992-04-25-a-i0255_3.jpg,0,5,10.902326,0.5284968
spanish_prompts3,data/test/drawing/JDG-1956-12-12-a-i0230_2.jpg,0,3,15.577842,0.9668578
spanish_prompts3,data/test/drawing/IMP-1989-05-31-a-i0100.jpg,0,0,10.677635,0.6015937
spanish_prompts3,data/test/drawing/JDG-1994-06-10-a-i0250.jpg,0,3,11.577835,0.6977332
spanish_prompts3,data/test/drawing/EXP-1974-05-25-a-i0325_8.jpg,0,0,10.590783,0.8467037
spanish_prompts3,data/test/drawing/IMP-1981-02-18-a-i0085_13.jpg,0,0,8.779604,0.39211464
spanish_prompts3,data/test/drawing/EXP-1906-03-31-a-i0134.jpg,0,1,10.534944,0.5180388
spanish_prompts3,data/test/drawing/IMP-1923-12-21-a-i0030.jpg,0,4,10.077067,0.42564917
spanish_prompts3,data/test/drawing/IMP-1951-08-20-a-i0080.jpg,0,4,9.976833,0.66566676
spanish_prompts3,data/test/drawing/IMP-1981-02-18-a-i0085_4.jpg,0,0,10.219658,0.36810914
spanish_prompts3,data/test/drawing/EXP-1979-08-17-a-i0337.jpg,0,3,12.101961,0.93413097
spanish_prompts3,data/test/drawing/EXP-1974-05-25-a-i0325_4.jpg,0,2,11.418689,0.935948
spanish_prompts3,data/test/drawing/IMP-1981-02-18-a-i0085_5.jpg,0,0,8.394331,0.63254744
spanish_prompts3,data/test/drawing/GDL-1979-06-15-a-i0026_2.jpg,0,0,11.680687,0.9497135
spanish_prompts3,data/test/drawing/JDG-1966-05-31-a-i0021.jpg,0,6,10.648462,0.38794318
spanish_prompts3,data/test/drawing/IMP-1903-01-14-a-i0031.jpg,0,3,10.601328,0.753057
spanish_prompts3,data/test/drawing/JDG-1974-01-17-a-i0097.jpg,0,2,8.38209,0.5003145
spanish_prompts3,data/test/drawing/EXP-1924-06-06-a-i0046.jpg,0,1,10.781815,0.7767888
spanish_prompts3,data/test/drawing/IMP-1915-04-08-a-i0038_2.jpg,0,7,12.672134,0.6829855
spanish_prompts3,data/test/drawing/IMP-1925-01-09-a-i0030.jpg,0,3,10.003115,0.42589757
spanish_prompts3,data/test/drawing/IMP-1929-10-16-a-i0005.jpg,0,6,9.678593,0.56435543
spanish_prompts3,data/test/drawing/EXP-1969-05-13-a-i0056.jpg,0,3,13.031885,0.73923707
spanish_prompts3,data/test/drawing/IMP-1906-12-16-a-i0013.jpg,0,2,9.238955,0.46534383
spanish_prompts3,data/test/drawing/EXP-1966-11-25-a-i0334.jpg,0,0,10.404602,0.8811667
spanish_prompts3,data/test/drawing/EXP-1974-05-25-a-i0325_2.jpg,0,0,9.441228,0.49004644
spanish_prompts3,data/test/drawing/IMP-1981-02-18-a-i0085.jpg,0,3,9.616143,0.4502972
spanish_prompts3,data/test/drawing/LCE-1915-02-13-a-i0032.jpg,0,4,9.230717,0.32027617
spanish_prompts3,data/test/drawing/IMP-1915-05-18-a-i0007.jpg,0,6,10.937239,0.7927967
spanish_prompts3,data/test/drawing/IMP-2001-07-17-a-i0177_2.jpg,0,3,15.53756,0.97801185
spanish_prompts3,data/test/drawing/EXP-1932-07-26-a-i0078.jpg,0,7,8.490814,0.40956593
spanish_prompts3,data/test/drawing/IMP-1937-02-16-a-i0012.jpg,0,3,10.38175,0.4400825
spanish_prompts3,data/test/drawing/IMP-1984-11-06-a-i0005.jpg,0,4,11.011089,0.6713673
spanish_prompts3,data/test/drawing/JDG-1977-06-04-a-i0219.jpg,0,2,11.718939,0.75461197
