,dessin,jeu,graphique,logo,Drôle,carte,photo,titre
0,"Dessin """,Jeu,« Graphe »,logo,Bande dessinée,Carte,PHOTO,Titre
1,« une image d'un dessin »,« l'image d'un jeu »,« une image d'un graphe »,« une image d'un logo »,« une image de bande dessinée »,« une image d'une carte »,« une image d'une photographie »,« une image d'un titre »
2,« dessin traditionnel »,le jeu de société,Représentation graphique,« logo emblématique »,« bande dessinée traditionnelle »,"""carte informative""","""photographie historique""","""title-font letter"""
3,« dessin monochromatique descrptif »,"""jeu de société divertissant"",","""graphique représentatif informatif""","""logo symbolique DE LA marque""","""bande dessinée traditionnelle divertissante""","""carte topographique informative""","""photographie journal historique""","""titre-font lettre latine"""
4,"""dessin descriptif ou dessin illustratif ou dessin de portrait ou caricature",« jeu de puzzle ou jeu de plateau ou jeu didactique »,"""graphique linéaire ou graphique à barres""",« logo de l'entreprise ou logo de la marque ou logo de l'institution »,"""bande dessinée d'aventure ou bande dessinée humoristique ou bande dessinée de super-héros ou bande dessinée de guerre""","""carte du pays ou carte régionale ou carte météorologique""",« photographie historique ou journal photo ou portait photo »,"""titre ou lettre alphabétique"""
5,"""dessin descriptif, dessin illustratif, dessin de portrait, dessin caricatural","« jeu de puzzle, jeu de plateau, jeu didactique »","""graphique linéaire, graphique à barres""","""logo DE L'ENTREPRISE, logo DE LA marque, logo DE L'IN","""bande dessinée d'aventure, bande dessinée humoristique, bande dessinée de super-héros, bande dessinée de guerre""","""carte du pays, carte régionale, carte météorologique""","« photographie historique, photographie de journal, photographie de portage »","""titre, lettre de l'alphabet"""
6,"""Cette image a été dessinée au crayon""","""Ce jeu peut être joué seul ou en groupe""","""Ce graphique a été tracé à l'aide de certaines données recueillies""",« Ce logo a été conçu pour un client »,« Cette bande dessinée est une histoire racontée avec des images successives »,"""Cette carte peut être utilisée pour apprendre la géographie""","""Cette photo a été prise avec un vieil appareil photo""",« Cette grande lettre marque le début d'un titre. »
7,"""Dessin ou illustration : Il peut s'agir de portraits ou de dessins de mode, mais aussi d'ornam","""Jeu ou Puzzle : Sudoku, échecs, mots croisés, poker, jeux de cartes, go, etc...""","""Graphique ou graphique : les graphiques correspondent à simple, ""y = f (x)""","""Logo : Logos classiques, combine le texte et les graphiques avec le texte prédominant, ancien p","""Dessin comique ou satirique : tout dessin humoristique ou de divertissement. Pourrait inclure","""Carte : Comprend des cartes géographiques, géologiques et géopolitiques, ainsi que nous","""Photographies : Noir et blanc ou couleur, comprend parfois des cadres décorés.""","""Titre : Grand titre, ou lettre de titre, presque exclusivement du Confédéré."""
8,« dessin : une image faite avec un crayon ou un stylo »,"« jeu : une activité ludique, ou l'équipement nécessaire à une telle activité","""graphe : une image qui montre comment deux ensembles d'informations ou de variables sont rel",« logo : un dessin ou un symbole utilisé par une entreprise pour faire la publicité de ses produits »,« bande dessinée : un ensemble d'histoires racontées en images avec une petite quantité d'écriture »,"""carte : une représentation de la surface de la terre, ou d'une partie de cette surface, montre",« photographie : une image réalisée à l'aide d'un appareil photo »,"« titre : le nom d'un film, d'un livre, d'une peinture, d'un morceau de musique »"
9,« une image faite avec un crayon ou un stylo »,"« une activité ludique, ou le matériel nécessaire à une telle activité »","« une image qui montre comment deux ensembles d'informations ou de variables sont liés, u",« un dessin ou un symbole utilisé par une entreprise pour faire la publicité de ses produits »,« un ensemble d'histoires racontées en images avec une petite quantité d'écriture »,"""une représentation de la surface de la terre, ou d'une partie de cette surface, montrant le",,"""une image produite à l'aide d'un appareil photo"", ""le nom d'un film, d'un livre, d'une peinture, d'une tarte"
10,« dessin : une image faite avec un crayon ou un stylo »,"« jeu : une activité ou un sport ludique, notamment pratiqué par des enfants,","""graphe : une image qui montre comment deux ensembles d'informations ou de variables (= amou",« logo : un dessin ou un symbole utilisé par une entreprise pour faire la publicité de ses produits »,« bande dessinée : un ensemble d'histoires racontées en images avec une petite quantité d'écriture »,"""carte : un dessin de la surface de la terre, ou d'une partie de cette surface, montrant le",« photographie : une image réalisée à l'aide d'un appareil photo »,"« titre : le nom d'un film, d'un livre, d'une peinture, d'un morceau de musique »"
11,« une image faite avec un crayon ou un stylo »,"""une activité ou un sport divertissant, en particulier joué par des enfants, ou le",« une image qui montre comment deux ensembles d'informations ou de variables (= montants que,« un dessin ou un symbole utilisé par une entreprise pour faire la publicité de ses produits »,« un ensemble d'histoires racontées en images avec une petite quantité d'écriture »,"""un dessin de la surface de la terre, ou d'une partie de cette surface, montrant la forme",« une image réalisée à l'aide d'un appareil photo »,"« le nom d'un film, d'un livre, d'une peinture, d'un morceau de musique »"
12,"« Un dessin est comme une fenêtre dans l'imagination de l'artiste, où le spectateur c","« Un jeu est comme un voyage sur une route sinueuse. Il est rempli de défis, sur",« Un graphique est comme une feuille de route pour les données. Il sert de guide pour donner un sens à la co,« Un logo est comme une poignée de main ferme. C'est la première impression et introduction,"« Une bande dessinée, c'est comme une montagne russe pour votre imagination. Tout comme un rollerc",« Une carte est comme une carte au trésor pour explorer le monde réel. Il fournit le k,"« Une photographie est comme un instant figé dans le temps, un souvenir conservé dans un cadre.",« Un titre est comme un signe sur la route de la connaissance. Tout comme un signpost prov
