,拉拔,游戏,图表,徽标,漫画,map,照片,职称
0,绘图,游戏,图,徽标,漫画,“地图？”,照片,职称
1,"""一幅图画的图像""","""游戏的图像""","""图形的图像""","""徽标的图像""","""漫画图片""","""地图的图像""","""一张照片的图像""","""标题的图像"""
2,“传统绘画”,圖版遊戲,图示,"""标志性徽标""","""传统漫画""","""信息地图""","""历史照片""","""title-font letter"""
3,“描述性单色图”,"""有趣的棋盘游戏"",","""信息丰富的代表性图表""","""象征性品牌徽标""",“娱乐传统漫画”,"""地形信息图""","""历史期刊照片""","""标题-字体拉丁字母"""
4,"""描述性图纸或说明性图纸或肖像画或漫画","""益智游戏或棋盘游戏或教学游戏""","""折线图或条形图""","""公司徽标或品牌徽标或机构徽标""","""冒险漫画或幽默漫画或超级英雄漫画或战争漫画""","""国家地图或区域地图或天气图""","""历史照片或期刊照片或portait照片""","""标题或字母"""
5,“描述性绘画、说明性绘画、肖像绘画、漫画DRA,“益智游戏、棋盘游戏、教学游戏”,"""折线图、条形图""","""公司徽标、品牌徽标、机构徽标""",“冒险漫画、幽默漫画、超级英雄漫画、战争漫画”,"""国家地图、区域地图、天气图""",“历史摄影、期刊摄影、portait摄影”,"""title, alphabet letter"""
6,"""此图像已用铅笔绘制""","""此游戏可以单独或分组进行""","""此图表已使用一些收集的数据绘制""","""此徽标是为客户设计的""",“这部漫画是用连续的图像讲述的故事”,"""此地图可用于学习地理""",“这张照片是用旧相机拍摄的”,“这个大字母标志着一个头衔的开始。”
7,"""素描或插图：可以是肖像或时尚素描，也可以是",“游戏或拼图：数独、国际象棋、填字游戏、扑克、纸牌游戏、围棋等……”,“图形或图表：图形对应简单，” y = f (x) ”,"""徽标：经典徽标，将文本和图形与主要文本相结合，","""漫画或讽刺画：任何幽默或娱乐画。可以","""地图：包括地理、地质和地缘政治地图，以及",“照片：黑白或彩色，有时包括装饰框架。”,“标题：大标题或标题字母，几乎完全来自Le Confédéré。”
8,"""绘画：用铅笔或钢笔制作的图片""","""游戏：娱乐活动，或此类活动所需的设备","""GRAPH ：显示两组信息或变量如何相对的图片","""LOGO ：公司用于宣传其产品的设计或符号""",“漫画：一组用少量文字在图片中讲述的故事”,"""地图：地球表面或部分表面的表示，","""照片：使用相机制作的图片""",“标题：电影、书籍、绘画、音乐片段的名称”
9,“用铅笔或钢笔制作的图片”,“娱乐活动，或此类活动所需的设备”,"""显示两组信息或变量如何相关的图片， u",“公司用于宣传其产品的设计或符号”,“一组用少量文字在图片中讲述的故事”,“地球表面或部分表面的表示，显示,,“使用相机制作的图片” ， “电影、书籍、绘画、馅饼的名称
10,"""绘画：用铅笔或钢笔制作的图片""","""游戏：娱乐活动或运动，特别是儿童玩耍的活动或运动，","""图：显示两组信息或变量（ = amou","""LOGO ：公司用于宣传其产品的设计或符号""",“漫画：一组用少量文字在图片中讲述的故事”,"""地图：绘制地球表面或该表面的一部分，显示","""照片：使用相机制作的图片""",“标题：电影、书籍、绘画、音乐片段的名称”
11,“用铅笔或钢笔制作的图片”,"""娱乐活动或运动，特别是儿童玩耍的活动或运动，或","""一张图片，显示两组信息或变量如何",“公司用于宣传其产品的设计或符号”,“一组用少量文字在图片中讲述的故事”,“绘制地球表面或该表面的一部分，显示形状,"""使用相机制作的图片""",“电影、书籍、绘画、音乐的名字”
12,“绘画就像是进入艺术家想象力的窗口，观众可以,“游戏就像蜿蜒曲折的道路上的旅程。Sur ，这里充满了挑战,“图表就像是数据的路线图。它可以作为一个指南来理解,“徽标就像牢固的握手。这是第一印象和介绍,“漫画就像过山车一样，能激发您的想象力。就像一个rollerc,“地图就像是探索真实世界的藏宝图。它提供了k,“一张照片就像一个冻结的时刻，一个保存在一帧中的记忆。,“头衔就像是知识之路上的路标。就像一个路标证明
