File Path,Prompt,Class Name,Predicted Text,Prompt ID,Number of Shots
data/test/title/LCE-1913-01-08-a-i0015.jpg,<image>An image of,title,An image of E by<|endofchunk|>,1,0
data/test/title/LCE-1911-12-06-a-i0016.jpg,<image>An image of,title,An image of Letter E<|endofchunk|>,1,0
data/test/title/LCE-1948-06-09-a-i0015.jpg,<image>An image of,title,An image of the letter E<|endofchunk|>,1,0
data/test/title/LCE-1943-01-27-a-i0017.jpg,<image>An image of,title,An image of F.E. by Frank Lloyd Wright<|endofchunk|>,1,0
data/test/title/LCE-1907-08-14-a-i0009.jpg,<image>An image of,title,An image of the letter N.<|endofchunk|>,1,0
data/test/title/LCE-1952-02-27-a-i0002.jpg,<image>An image of,title,An image of the letter L.<|endofchunk|>,1,0
data/test/title/LCE-1906-02-03-a-i0003.jpg,<image>An image of,title,An image of 1<|endofchunk|>,1,0
data/test/title/LCE-1912-11-23-a-i0020.jpg,<image>An image of,title,An image of Letter R<|endofchunk|>,1,0
data/test/title/LCE-1913-02-15-a-i0009.jpg,<image>An image of,title,An image of Letter F<|endofchunk|>,1,0
data/test/title/LCE-1913-03-01-a-i0008.jpg,<image>An image of,title,An image of the first page of the letter 'E'<|endofchunk|>,1,0
data/test/title/LCE-1910-04-27-a-i0002.jpg,<image>An image of,title,An image of the letter C.<|endofchunk|>,1,0
data/test/title/LCE-1942-01-02-a-i0012.jpg,<image>An image of,title,An image of D<|endofchunk|>,1,0
data/test/title/LCE-1908-10-07-a-i0011.jpg,<image>An image of,title,An image of E by E.E. Cummings<|endofchunk|>,1,0
data/test/title/LCE-1904-07-02-a-i0002.jpg,<image>An image of,title,An image of the letter L.<|endofchunk|>,1,0
data/test/title/LCE-1923-03-09-a-i0051.jpg,<image>An image of,title,An image of the letter R<|endofchunk|>,1,0
data/test/title/LCE-1907-01-01-a-i0016.jpg,<image>An image of,title,An image of E<|endofchunk|>,1,0
data/test/title/LCE-1912-10-19-a-i0010.jpg,<image>An image of,title,An image of F<|endofchunk|>,1,0
data/test/title/LCE-1904-06-15-a-i0019.jpg,<image>An image of,title,An image of the letter R.<|endofchunk|>,1,0
data/test/title/LCE-1933-05-03-a-i0012.jpg,<image>An image of,title,An image of F<|endofchunk|>,1,0
data/test/title/LCE-1948-09-17-a-i0020.jpg,<image>An image of,title,An image of the letter E.<|endofchunk|>,1,0
data/test/title/LCE-1911-10-18-a-i0084.jpg,<image>An image of,title,An image of the letter R.<|endofchunk|>,1,0
data/test/title/LCE-1908-03-07-a-i0008.jpg,<image>An image of,title,An image of F<|endofchunk|>,1,0
data/test/title/LCE-1933-10-09-a-i0017.jpg,<image>An image of,title,An image of the letter E.<|endofchunk|>,1,0
data/test/title/LCE-1949-12-19-a-i0016.jpg,<image>An image of,title,An image of D<|endofchunk|>,1,0
data/test/title/LCE-1909-05-01-a-i0001.jpg,<image>An image of,title,An image of the letter O.<|endofchunk|>,1,0
data/test/title/LCE-1944-03-31-a-i0017.jpg,<image>An image of,title,An image of F.E.<|endofchunk|>,1,0
data/test/title/LCE-1908-08-05-a-i0017.jpg,<image>An image of,title,An image of E by Edward Gorey<|endofchunk|>,1,0
data/test/title/LCE-1935-06-10-a-i0011.jpg,<image>An image of,title,An image of the letter E<|endofchunk|>,1,0
data/test/title/LCE-1906-03-14-a-i0020.jpg,<image>An image of,title,An image of the letter C<|endofchunk|>,1,0
data/test/title/LCE-1943-01-27-a-i0008.jpg,<image>An image of,title,An image of the number 0<|endofchunk|>,1,0
data/test/title/LCE-1900-08-29-a-i0011.jpg,<image>An image of,title,An image of the letter R.<|endofchunk|>,1,0
data/test/title/LCE-1915-04-07-a-i0012.jpg,<image>An image of,title,An image of the letter C.<|endofchunk|>,1,0
data/test/title/LCE-1908-01-22-a-i0011_2.jpg,<image>An image of,title,An image of Letter E by Anonymous<|endofchunk|>,1,0
data/test/title/LCE-1911-10-18-a-i0002.jpg,<image>An image of,title,An image of the letter C<|endofchunk|>,1,0
