,Zeichnen,Spiel,Diagramm,logo,Comic,Karte,Foto,title
0,ZEICHNUNG,/game,"„Grafik""",logo,Comic,"""map""","""Fotografie"";","""title"""
1,"""ein Bild einer Zeichnung""","""ein Bild eines Spiels""","""ein Bild eines Graphen""","""ein Bild eines Logos""","""ein Bild eines Comics""","""ein Bild einer Karte""","""ein Bild eines Fotos""","""ein Bild eines Titels"""
2,"""traditionelle Zeichnung""",Brettspiel,Graphische Darstellung,"""emblematisches Logo""","""traditioneller Comic""","""informative Karte""","""Historische Fotografie""","""title-font letter"""
3,"""beschreibendes monochromatisches Zeichnen""","""unterhaltsames Brettspiel"",","""informatives repräsentatives Diagramm""","""symbolisches Markenlogo""","""unterhaltsamer traditioneller Comic""","""topografische Informationskarte""","""historisches Zeitschriftenfoto""","""Titel-Schrift lateinischer Buchstabe"""
4,"""beschreibende Zeichnung oder illustrative Zeichnung oder Porträtzeichnung oder Karikatur","""Puzzlespiel oder Brettspiel oder didaktisches Spiel""","""Liniendiagramm oder Balkendiagramm""","""Firmenlogo oder Markenlogo oder Institutionslogo""","""Abenteuer-Comic oder Humor-Comic oder Superhelden-Comic oder Kriegs-Comic""","""Länderkarte oder Regionalkarte oder Wetterkarte""","""historisches Foto oder Zeitschriftenfoto oder Portraitfoto""","""Titel oder Buchstabe"""
5,"""beschreibende Zeichnung, illustrative Zeichnung, Porträtzeichnung, Karikaturzeichnung","""Puzzlespiel, Brettspiel, didaktisches Spiel""","""Liniendiagramm, Balkendiagramm""","""Firmenlogo, Markenlogo, Institutionslogo""","""Abenteuer-Comic, Humor-Comic, Superhelden-Comic, Kriegs-Comic""","""Länderkarte, Regionalkarte, Wetterkarte""","""Historische Fotografie, Zeitschriftenfotografie, Portraitfotografie""","""Titel, Buchstabe"""
6,"""Dieses Bild wurde mit einem Bleistift gezeichnet""","""Dieses Spiel kann alleine oder in Gruppen gespielt werden""","""Diese Grafik wurde anhand einiger gesammelter Daten erstellt""","""Dieses Logo wurde für einen Kunden entworfen""","""Dieser Comic ist eine Geschichte, die mit aufeinanderfolgenden Bildern erzählt wird""","""Diese Karte kann verwendet werden, um Geographie zu lernen""","""Dieses Foto wurde mit einer alten Kamera aufgenommen""",„Dieser große Buchstabe markiert den Anfang eines Titels.“
7,"""Zeichnung oder Illustration: Kann Porträt- oder Modezeichnungen sein, aber auch Ornamente","""Spiel oder Puzzle: Sudoku, Schach, Kreuzworträtsel, Poker, Kartenspiele, Go, etc...""","""Graph oder Diagramm: Graphen entsprechen einfach, ""y = f (x)""","""Logo: Klassische Logos, kombiniert Text und Grafik mit vorherrschendem Text, altes p","""Komische oder satirische Zeichnung: Jede Humor- oder Unterhaltungszeichnung. Könnte","""Karte: Enthält geografische, geologische und geopolitische Karten sowie","""Fotografien: Schwarzweiß oder Farbe, manchmal mit dekorierten Rahmen.""","""Titel: Großer Titel oder Titelbrief, fast ausschließlich von Le Confédéré."""
8,"""Zeichnung: ein Bild, das mit einem Bleistift oder einem Stift gemacht wurde""","""Spiel: eine unterhaltsame Aktivität oder die Ausrüstung, die für eine solche Aktivität benötigt wird","""Graph: ein Bild, das zeigt, wie zwei Sätze von Informationen oder Variablen rel","""Logo: ein Design oder Symbol, das von einem Unternehmen zur Werbung für seine Produkte verwendet wird""","""Comic: eine Reihe von Geschichten, die in Bildern mit einer kleinen Menge an Schrift erzählt werden""","""Karte: eine Darstellung der Erdoberfläche oder eines Teils dieser Oberfläche, showi","""Foto: ein Bild, das mit einer Kamera erstellt wurde""","""Titel: der Name eines Films, Buches, Gemäldes, Musikstücks"""
9,"""ein Bild, das mit einem Bleistift oder einem Stift gemacht wurde""","""eine unterhaltsame Aktivität oder die für eine solche Aktivität erforderliche Ausrüstung""","""ein Bild, das zeigt, wie zwei Sätze von Informationen oder Variablen zusammenhängen,","""ein Design oder Symbol, das von einem Unternehmen zur Werbung für seine Produkte verwendet wird""",„a set of stories told in pictures with a small amount of writing“,"""eine Darstellung der Erdoberfläche oder eines Teils dieser Oberfläche, die zeigt,",,"""ein mit einer Kamera produziertes Bild"", ""der Name eines Films, Buches, Gemäldes, Kuchens"
