,الرسم,لعبة,رسم بياني,الشعار,هزلي,يعيّن,"الصورة الفوتوغرافية, صورة فوتوغرافية",العنوان
0.,الرسم,الشجاعة,رسم بياني ,الشعار,هزلي,MAP,صورة فوتوغرافية,"""المنصب"""
1.,"""صورة لرسم""","""صورة للعبة""","""صورة لرسم بياني""","""صورة لشعار""","""صورة هزلية""","""صورة لخريطة""","""صورة فوتوغرافية""","""صورة عنوان"""
2.,"""الرسم التقليدي""",لعبة ألواح,تمثيل رسومي,"""شعار رمزي""","""كوميدي تقليدي""","""خريطة إعلامية""","""صورة تاريخية""","""حرف خط العنوان"""
3.,"""رسم وصفي أحادي اللون""","""لعبة لوحية مسلية"",","""رسم بياني تمثيلي غني بالمعلومات""","""شعار العلامة التجارية الرمزي""","""هزلية تقليدية مسلية""","""خريطة معلومات طبوغرافية""","""صورة المجلة التاريخية""","""عنوان الخط بالحرف اللاتيني"""
4.,"""رسم وصفي أو رسم توضيحي أو رسم بورتريه أو كاريكاتير","""لعبة ألغاز أو لعبة لوحية أو لعبة تعليمية""","""رسم بياني خطي أو رسم بياني شريطي""","""شعار الشركة أو شعار العلامة التجارية أو شعار المؤسسة""","""مغامرة كوميدية أو فكاهية هزلية أو خارقة هزلية أو حرب هزلية""","""خريطة البلد أو الخريطة الإقليمية أو خريطة الطقس""","""صورة تاريخية أو صورة يومية أو صورة شخصية""","""العنوان أو الحرف الأبجدي"""
5.,"""رسم وصفي، رسم توضيحي، رسم بورتريه، رسم كاريكاتوري","""لعبة ألغاز، لعبة لوحية، لعبة تعليمية""",رسم بياني خطي، رسم بياني شريطي,شعار الشركة، شعار العلامة التجارية، شعار المؤسسة,كوميكس المغامرة، كوميكس الفكاهة، كوميكس الأبطال الخارقين، كوميكس الحرب,خريطة الدولة، الخريطة الإقليمية، خريطة الطقس,صورة تاريخية، صورة يومية، صورة بورتيه,العنوان، الحرف الأبجدي
6.,"""تم رسم هذه الصورة بقلم رصاص""","""يمكن لعب هذه اللعبة بمفردها أو في مجموعات""","""تم رسم هذا الرسم البياني باستخدام بعض البيانات المجمعة""","""تم تصميم هذا الشعار للعميل""","""هذه القصة المصورة هي قصة تروى بصور متتالية""","""يمكن استخدام هذه الخريطة لتعلم الجغرافيا""","""تم التقاط هذه الصورة بكاميرا قديمة""","""هذه الرسالة الكبيرة تمثل بداية العنوان."""
7.,"""الرسم أو الرسم التوضيحي: يمكن أن يكون رسومات بورتريه أو أزياء، ولكن أيضًا أورنام","""لعبة أو لغز: سودوكو، شطرنج، كلمات متقاطعة، بوكر، ألعاب ورق، انطلق، إلخ...""","""الرسم البياني أو الرسم البياني: تتوافق الرسوم البيانية مع البسيط، ""ص = و (س )""","""الشعار: الشعارات الكلاسيكية، يجمع بين النص والرسومات مع النص السائد، ص القديمة","""الرسم الهزلي أو الساخر: أي رسم فكاهي أو ترفيهي. يمكن أن يشمل","""الخريطة: تشمل الخرائط الجغرافية والجيولوجية والجيوسياسية، وكذلك نحن","""الصور: بالأبيض والأسود أو بالألوان، وأحيانًا تتضمن إطارات مزينة.""","""العنوان: عنوان كبير، أو خطاب عنوان، يكاد يكون حصريًا من الكونفدرالية."""
8.,"""الرسم: صورة مصنوعة بقلم رصاص أو قلم""","""اللعبة: نشاط ترفيهي، أو المعدات اللازمة لمثل هذا النشاط","""الرسم البياني: صورة توضح كيفية ارتباط مجموعتين من المعلومات أو المتغيرات","""الشعار: تصميم أو رمز تستخدمه شركة للإعلان عن منتجاتها""","""القصص المصورة: مجموعة من القصص التي تروى في صور مع قدر صغير من الكتابة""","""الخريطة: تمثيل لسطح الأرض، أو جزء من ذلك السطح،","""الصورة: صورة تم إنتاجها باستخدام كاميرا""","""العنوان: اسم فيلم أو كتاب أو لوحة أو قطعة موسيقية"""
9.,"""صورة مصنوعة بقلم رصاص أو قلم""","""نشاط ترفيهي، أو المعدات اللازمة لمثل هذا النشاط""","""صورة توضح كيف ترتبط مجموعتان من المعلومات أو المتغيرات،","""تصميم أو رمز تستخدمه شركة للإعلان عن منتجاتها""","""مجموعة من القصص التي تروى في صور بكمية صغيرة من الكتابة""","""تمثيل لسطح الأرض، أو جزء من ذلك السطح، يظهر",,"""صورة تم إنتاجها باستخدام كاميرا""، ""اسم فيلم، كتاب، لوحة، فطيرة"
